# cGAS-STING / Type-I-IFN / IL-6 / ISG host reactivation gene panel
#
# Purpose: input panel for bin/score_host_reactivation.py, which computes a
# per-donor "host reactivation score" from host_gene_expression_matrix.tsv
# (the v2.0.0 host-quant arm output; params.run_host_quant). Built for the
# Phase I STTR application (Ataraxia Bio / Price Lab) Preliminary Data
# deliverable: a per-donor cGAS-STING/type-I-IFN/IL-6/ISG reactivation score,
# tested for correlation against existing viral RPM data.
#
# Format: gene_id <tab> gene_symbol <tab> gene_biotype <tab> category <tab> source <tab> notes
# Lines starting with # are comments. gene_id matches the gene_id column of
# host_gene_expression_matrix.tsv (GENCODE v48, via assets/gene_id_name_biotype.tsv).
#
# Sourcing (defensible for external/grant use):
#   - category=type_I_IFN_response_ISG (102 genes): 97 genes are the verbatim
#     MSigDB Hallmark HALLMARK_INTERFERON_ALPHA_RESPONSE gene set (v2023.2.Hs;
#     Liberzon et al. 2015 Cell Systems; Subramanian et al. 2005 PNAS GSEA),
#     downloaded directly from gsea-msigdb.org 2026-07-15 and used unmodified.
#     5 additional canonical ISGs (MX2, OAS2, OAS3, IFIT1, RIGI/DDX58) were
#     added by hand because they are widely used in the ISG-signature
#     literature but are confirmed (by direct membership check against the
#     downloaded file) to be absent from the Hallmark IFN-alpha set.
#   - category=cGAS_STING_core (6 genes): hand-curated canonical cGAS-STING
#     pathway *signaling machinery* (CGAS, STING1, TBK1, IKBKE, IRF3, IFNB1).
#     These are deliberately NOT drawn from a Hallmark "response" gene set,
#     which captures transcriptional output, not the upstream sensor/adaptor/
#     kinase/TF machinery itself. Gene symbols use current HGNC nomenclature
#     as it appears in GENCODE v48 (CGAS not MB21D1; STING1 not TMEM173).
#     Key refs: Sun et al. 2013 Science (cGAS); Ishikawa & Barber 2008 Nature
#     (STING).
#   - category=IL6_JAK_STAT3_axis (88 genes): 87 genes are the verbatim MSigDB
#     Hallmark HALLMARK_IL6_JAK_STAT3_SIGNALING gene set (v2023.2.Hs), same
#     source/date as above, used unmodified. Note this Hallmark set is a
#     general gp130/JAK/STAT3 signaling set (it includes many cytokine/
#     receptor genes beyond IL-6 itself, e.g. IL1B, CSF2, LTBR, IFNAR1) -- it
#     is NOT an IL-6-specific gene list. It was chosen anyway for defensibility
#     (verbatim public gene set, not hand-picked) with this caveat documented
#     here. IL6R was added by hand because it is confirmed absent from the
#     Hallmark set (which includes IL6 and IL6ST but not the receptor IL6R).
#
# 8 genes appear in two categories (semicolon-joined in the category column)
# because they are members of more than one source gene set (e.g. CXCL10,
# CXCL11, CSF1 appear in both the IFN-alpha and IL6/JAK/STAT3 Hallmark sets).
#
# All 188 gene symbols resolved cleanly (0 unmatched) against
# assets/gene_id_name_biotype.tsv (GENCODE v48, ~79k gene_id/name/biotype rows).
# Built 2026-07-15 as part of the host-quant-arm smoke-test / STTR Preliminary
# Data tooling session (see docs/tooling_progress_plan.md).
gene_id	gene_symbol	gene_biotype	category	source	notes
ENSG00000175899.15	A2M	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000135503.13	ACVR1B	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000139567.14	ACVRL1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000030110.14	BAK1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000110395.8	CBL	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000108688.11	CCL7	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000163823.4	CCR1	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000170458.15	CD14	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000135218.19	CD36	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000004468.13	CD38	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000026508.21	CD44	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000010278.15	CD9	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000122756.15	CNTFR	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000205755.13	CRLF2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000164400.6	CSF2	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000198223.19	CSF2RA	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
ENSG00000100368.15	CSF2RB	protein_coding	IL6_JAK_STAT3_axis	MSigDB HALLMARK_IL6_JAK_STAT3_SIGNALING (v2023.2.Hs)	
